epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
76,1867.38,0.6614,0.42681,0.56476,0.97197,0,0.88393,0.93167,0.94257,0.70084,0.88393,0.93167,0.94257,0.61996,0.74587,0.71733,0.55066,1.06455,0,0.00102851,0.00102851,0.00102851
77,1892.01,0.66355,0.39635,0.58724,0.98915,0,0.91509,0.89675,0.95499,0.75134,0.91509,0.89675,0.95499,0.67378,0.79026,0.69973,0.67013,1.09283,0,0.00102741,0.00102741,0.00102741
78,1916.49,0.64694,0.48288,0.57474,0.98336,0,0.82922,0.98417,0.95726,0.68891,0.82922,0.98417,0.95726,0.6263,0.71192,0.63624,0.5967,1.06332,0,0.00102631,0.00102631,0.00102631
79,1941,0.64613,0.41988,0.57758,0.97764,0,0.84893,0.99167,0.94519,0.70285,0.84893,0.99167,0.94519,0.62969,0.74354,0.59762,0.61785,1.09106,0,0.00102521,0.00102521,0.00102521
80,1965.84,0.68128,0.41201,0.58533,0.99777,0,0.75245,1,0.95426,0.77271,0.75245,1,0.95426,0.70576,0.68826,0.61429,0.60734,1.02766,0,0.00102411,0.00102411,0.00102411
81,1990.6,0.68088,0.43187,0.58826,0.98598,0,0.85853,0.97926,0.96762,0.76444,0.85853,0.97926,0.96762,0.68261,0.72667,0.59938,0.58621,1.0524,0,0.00102301,0.00102301,0.00102301
82,2015.12,0.65814,0.48857,0.5917,0.9698,0,0.90468,0.91927,0.96883,0.75761,0.90468,0.91927,0.96883,0.69655,0.75855,0.62203,0.62078,1.0876,0,0.00102191,0.00102191,0.00102191
83,2039.63,0.65743,0.44104,0.58256,0.98386,0,0.84383,0.8,0.96859,0.76389,0.84383,0.8,0.96859,0.71585,0.71693,0.62994,0.59192,1.03845,0,0.00102081,0.00102081,0.00102081
84,2064.33,0.65435,0.44341,0.58781,0.97896,0,0.58363,1,0.96941,0.73688,0.58363,1,0.96941,0.67432,0.73946,0.65188,0.62107,1.07306,0,0.00101971,0.00101971,0.00101971
85,2088.84,0.63659,0.40732,0.66937,0.9536,0,0.72066,0.98362,0.92572,0.67087,0.72066,0.98362,0.92572,0.59347,0.81432,0.72284,0.64466,1.13097,0,0.00101861,0.00101861,0.00101861
86,2113.34,0.66555,0.43393,0.58651,0.99502,0,0.88326,0.93046,0.95991,0.73603,0.88326,0.93046,0.95991,0.66535,0.71031,0.64725,0.68832,1.06645,0,0.00101751,0.00101751,0.00101751
87,2137.81,0.6164,0.46357,0.56942,0.96119,0,0.86393,0.96,0.94962,0.73327,0.86393,0.96,0.94962,0.66454,0.67697,0.64463,0.56705,1.04074,0,0.00101641,0.00101641,0.00101641
88,2162.3,0.68325,0.42539,0.57746,0.9994,0,0.88237,0.96789,0.9636,0.74716,0.88237,0.96789,0.9636,0.66058,0.72172,0.72094,0.55183,1.02617,0,0.00101531,0.00101531,0.00101531
89,2186.77,0.65955,0.43601,0.5896,0.99928,0,0.79128,1,0.97412,0.72482,0.79128,1,0.97412,0.68886,0.71498,0.66818,0.67763,1.0489,0,0.00101421,0.00101421,0.00101421
90,2211.33,0.63405,0.41463,0.67594,0.94037,0,0.82385,1,0.974,0.73689,0.82385,1,0.974,0.68755,0.74101,0.59643,0.53949,1.0582,0,0.00101311,0.00101311,0.00101311
91,2235.78,0.61331,0.38906,0.6427,0.95412,0,0.87397,0.96355,0.97658,0.77434,0.87397,0.96355,0.97658,0.67577,0.70596,0.60304,0.5702,1.06229,0,0.00101201,0.00101201,0.00101201
92,2260.28,0.63884,0.46948,0.54691,0.95766,0,0.70317,0.99167,0.97175,0.72012,0.70317,0.99167,0.97175,0.65571,0.72546,0.66552,0.62872,1.06341,0,0.00101091,0.00101091,0.00101091
93,2284.75,0.61699,0.42915,0.56657,0.94987,0,0.68449,0.99139,0.93989,0.69525,0.68449,0.99139,0.93989,0.64385,0.69641,0.62003,0.6619,1.03399,0,0.00100981,0.00100981,0.00100981
94,2309.25,0.61001,0.42647,0.55935,0.97062,0,0.75705,0.99167,0.95665,0.70941,0.75705,0.99167,0.95665,0.63247,0.6963,0.67537,0.62104,1.04632,0,0.00100871,0.00100871,0.00100871
95,2333.86,0.59591,0.40823,0.5568,0.95393,0,0.73591,0.92554,0.94674,0.72693,0.73591,0.92554,0.94674,0.66571,0.68798,0.66667,0.64905,1.05504,0,0.00100761,0.00100761,0.00100761
96,2358.37,0.61746,0.3894,0.5467,0.95699,0,0.67053,1,0.9423,0.75616,0.67053,1,0.9423,0.67654,0.71666,0.70957,0.5945,1.06681,0,0.00100651,0.00100651,0.00100651
97,2382.85,0.58033,0.4341,0.56918,0.92125,0,0.76556,0.98744,0.93878,0.72079,0.76556,0.98744,0.93878,0.62641,0.71768,0.64978,0.61991,1.04753,0,0.00100541,0.00100541,0.00100541
98,2407.37,0.6245,0.41821,0.56079,0.96524,0,0.69097,1,0.96604,0.68531,0.69097,1,0.96604,0.65973,0.70069,0.66686,0.62098,1.06092,0,0.00100431,0.00100431,0.00100431
99,2431.85,0.60406,0.41883,0.53012,0.93367,0,0.79476,0.8,0.97306,0.6574,0.79476,0.8,0.97306,0.59341,0.74286,0.68829,0.60186,1.11057,0,0.00100321,0.00100321,0.00100321
100,2456.32,0.62568,0.44581,0.53937,0.95751,0,0.90806,0.7592,0.83886,0.64357,0.90806,0.7592,0.83886,0.59545,0.70097,0.61723,0.64294,1.05396,0,0.00100211,0.00100211,0.00100211
